object,night,t_fit,alpha,delta,alpha_dot,delta_dot,a_kep,e,i,Omega,omega,M,a_equ,h,k,p,q,lambda
2021GF16,3,59320.383726851855,4.423500628153545,-0.38786500448438094,0.012379278221487766,0.005939042577665532,2.00256,0.448931,3.505,211.73,344.83,159.471,2.00444430635455,-0.126053355448463,-0.429165779148891,-0.016087083812942,-0.025866941590608,201.2542643066278
2017YD2,1,58110.44028935185,1.9091014951346956,0.5698626059318574,-0.10229128523218378,0.025015750281909277,0.844322,0.316452,1.903,277.29,314.076,61.424,0.8404671508542036,-0.252450547199567,-0.195369961803096,-0.016058517634533,0.002149743480866,120.7136245119002
2017YD2,2,58111.31528935185,1.808885416705703,0.599160866308669,-0.15991315843712073,0.037520754654792654,0.844322,0.316452,1.903,277.29,314.076,61.424,0.8404671508542036,-0.252450547199567,-0.195369961803096,-0.016058517634533,0.002149743480866,120.7136245119002
2023UQ1,1,60234.488541666666,1.2259743171943072,0.25372244035323266,-0.056934772128443,0.06328380578156612,1.5411,0.3892,6.674,27.543,313.045,310.474,1.541905999799866,-0.129241303178072,0.367615223182295,0.026975758570335,0.051711832046207,359.8467026194623
2023UQ1,2,60235.32822916667,1.186793348094234,0.3035685104951415,-0.04973227793198021,0.05619466701409692,1.5411,0.3892,6.674,27.543,313.045,310.474,1.541905999799866,-0.129241303178072,0.367615223182295,0.026975758570335,0.051711832046207,359.8467026194623
2023UQ1,3,60236.33576388889,1.145305126445077,0.3535314692155659,-0.042891630945850426,0.045962093194374935,1.5411,0.3892,6.674,27.543,313.045,310.474,1.541905999799866,-0.129241303178072,0.367615223182295,0.026975758570335,0.051711832046207,359.8467026194623
2013JE34,1,56427.51299768518,4.271549645481041,-0.1730511406644898,-0.002218534711360576,0.04031748282710623,1.63395,0.315035,25.51,232.454,323.668,284.319,1.6338799470584529,-0.087518760745779,-0.302721174947289,-0.179585746612533,-0.137694697071765,217.2311841048955
2013JE34,2,56428.17104166667,4.271083933458967,-0.14678558378849088,-0.00030453034241872956,0.038448846823939675,1.63395,0.315035,25.51,232.454,323.668,284.319,1.6338799470584529,-0.087518760745779,-0.302721174947289,-0.179585746612533,-0.137694697071765,217.2311841048955
2013JE34,3,56429.38569444444,4.269763300991624,-0.10077385656910925,-0.0021387578622409364,0.037035746623530486,1.63395,0.315035,25.51,232.454,323.668,284.319,1.6338799470584529,-0.087518760745779,-0.302721174947289,-0.179585746612533,-0.137694697071765,217.2311841048955
2023KC3,1,60089.90414351852,4.051298984078451,-0.18905600383075022,0.05890578137223201,0.19360041759659907,1.33419,0.228552,18.581,243.089,21.316,81.408,1.3344942980238503,-0.227356932251972,-0.022671447711264,-0.146013100138496,-0.074052996712261,251.7520533934697
2023KC3,2,60090.37763888889,4.0797293067626565,-0.09628457884477118,0.05799860840772908,0.195811795019182,1.33419,0.228552,18.581,243.089,21.316,81.408,1.3344942980238503,-0.227356932251972,-0.022671447711264,-0.146013100138496,-0.074052996712261,251.7520533934697
2021UA7,1,59515.31449074074,0.36126839258623644,0.1415035872141706,0.017284143007543662,0.031072112629772164,2.1444,0.812958,0.835,35.401,248.784,57.63,2.1444680503745315,-0.788550921873171,0.199356750489594,0.004219906060773,0.005946190706564,298.2762786860393
2024BC5,1,60340.9259375,2.6157802187235477,-0.09364951952520462,-0.0897547333258899,-0.02305142302452623,1.26045,0.397384,12.008,309.145,98.998,0.872,1.260705440138327,0.29609637048291,0.265373183467254,-0.081576836337326,0.066432271256342,89.5321420764886
2024BC5,2,60341.89334490741,2.5436603051490554,-0.11200068698256278,-0.061233162060716495,-0.01567221615169956,1.26045,0.397384,12.008,309.145,98.998,0.872,1.260705440138327,0.29609637048291,0.265373183467254,-0.081576836337326,0.066432271256342,89.5321420764886
2012BP123,1,55957.32728009259,2.2086959878857826,0.056020705665887995,0.001337074858838605,0.023394476870635117,1.12218,0.155769,2.596,148.489,272.977,107.122,1.1225710054752565,0.137053972735164,0.074965333926055,0.011804622145956,-0.019322287853981,114.8863538253402
2012BP123,2,55958.22846064815,2.213880342984727,0.07653511176835691,-0.0005126669111870297,0.02226247642239378,1.12218,0.155769,2.596,148.489,272.977,107.122,1.1225710054752565,0.137053972735164,0.074965333926055,0.011804622145956,-0.019322287853981,114.8863538253402
2023XZ11,1,60288.50577546296,1.1123669091911792,-0.6721718674290407,-0.011468722469544446,-0.033934395166397735,2.02129,0.561756,17.208,83.59,41.015,163.341,2.021432215819676,0.461759708751391,-0.320232892899939,0.150083210607836,0.016829665978937,112.8006446099562
2023XZ11,2,60289.87788194444,1.0832931417894054,-0.7637856543072663,-0.0285525173961787,-0.08970473919953292,2.02129,0.561756,17.208,83.59,41.015,163.341,2.021432215819676,0.461759708751391,-0.320232892899939,0.150083210607836,0.016829665978937,112.8006446099562
2023XZ11,3,60291.08361111111,1.0159321593086843,-0.9261255154267943,-0.115875375631731,-0.198999882732096,2.02129,0.561756,17.208,83.59,41.015,163.341,2.021432215819676,0.461759708751391,-0.320232892899939,0.150083210607836,0.016829665978937,112.8006446099562
2021XX4,1,59556.28444444444,1.1108198929754427,0.47779163975234545,0.002129971279828169,0.026151194061071692,1.83391,0.562413,0.738,268.725,231.907,116.161,1.8553818339375743,0.363291270368093,-0.435041922971135,-0.004521778413125,0.000245452429741,123.3407235788457
2021XX4,2,59557.29414351852,1.128290638787906,0.5160002907742691,0.01437716909322262,0.05278049172829924,1.83391,0.562413,0.738,268.725,231.907,116.161,1.8553818339375743,0.363291270368093,-0.435041922971135,-0.004521778413125,0.000245452429741,123.3407235788457
2021XX4,3,59558.900659722225,1.2804120819506883,0.7682478794281984,0.3192481537735148,0.46860581818327773,1.83391,0.562413,0.738,268.725,231.907,116.161,1.8553818339375743,0.363291270368093,-0.435041922971135,-0.004521778413125,0.000245452429741,123.3407235788457
2023XN1,1,60281.284270833334,0.8619124524182015,0.5795379840843924,0.115193616701049,0.009117748094013223,2.5286,0.635902,1.62,46.983,339.636,135.186,2.529042703032025,0.284868178004376,0.568978601169071,0.010347619920596,0.009653073640518,34.9002076018609
2023XN1,2,60282.13248842592,0.9557153912327933,0.5850151666467274,0.09454739217777844,0.005856407193473969,2.5286,0.635902,1.62,46.983,339.636,135.186,2.529042703032025,0.284868178004376,0.568978601169071,0.010347619920596,0.009653073640518,34.9002076018609
2023XN1,3,60283.33920138889,1.060027902860321,0.5864146298186181,0.0719472314843896,-0.0017770625047721937,2.5286,0.635902,1.62,46.983,339.636,135.186,2.529042703032025,0.284868178004376,0.568978601169071,0.010347619920596,0.009653073640518,34.9002076018609
